trip_id,start_time,end_time,headway_secs
"710","05:00:00","22:00:00","900"
"711","05:00:00","22:00:00","900"
"712","05:00:00","22:00:00","900"
"713","05:00:00","22:00:00","900"
"714","05:00:00","22:00:00","900"
"715","05:00:00","22:00:00","900"
"716","05:00:00","22:00:00","900"
"717","05:00:00","22:00:00","900"
"718","05:00:00","22:00:00","900"
"719","05:00:00","22:00:00","900"
"720","05:00:00","22:00:00","900"
"721","05:00:00","22:00:00","900"
"722","05:00:00","22:00:00","900"
"723","05:00:00","22:00:00","900"
"724","05:00:00","22:00:00","900"
"725","22:00:00","29:00:00","1200"
"726","05:00:00","22:00:00","900"
"727","22:00:00","29:00:00","1200"
"728","05:00:00","22:00:00","900"
"729","05:00:00","22:00:00","900"
"730","05:00:00","22:00:00","900"
"731","05:00:00","22:00:00","900"
"732","05:00:00","22:00:00","900"
